Runs,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Start Date Year,Start Date Months
2,5,0,0,40.0,3,caught,2,West Indies,Kochi,2014-10-08,2014,10
62,78,5,0,79.48,4,caught,1,West Indies,Delhi,2014-10-11,2014,10
127,114,13,3,111.4,3,run out,1,West Indies,Dharamsala,2014-10-17,2014,10
22,21,2,0,104.76,4,caught,1,Sri Lanka,Cuttack,2014-11-02,2014,11
49,44,2,2,111.36,4,caught,2,Sri Lanka,Ahmedabad,2014-11-06,2014,11
53,61,4,1,86.88,4,caught,2,Sri Lanka,Hyderabad (Deccan),2014-11-09,2014,11
66,64,6,0,103.12,4,run out,1,Sri Lanka,Kolkata,2014-11-13,2014,11
139,126,12,3,110.31,4,not out,2,Sri Lanka,Ranchi,2014-11-16,2014,11
9,16,0,0,56.25,4,caught,1,Australia,Melbourne,2015-01-18,2015,1
1,13,0,0,7.69,3,caught,2,Australia,Sydney,2015-03-26,2015,3
1,4,0,0,25.0,3,caught,2,Bangladesh,Dhaka,2015-06-18,2015,6
23,27,3,1,85.18,3,lbw,1,Bangladesh,Dhaka,2015-06-21,2015,6
25,35,1,0,71.42,3,bowled,1,Bangladesh,Dhaka,2015-06-24,2015,6
11,18,0,0,61.11,4,caught,2,South Africa,Kanpur,2015-10-11,2015,10
12,18,0,0,66.66,4,run out,1,South Africa,Indore,2015-10-14,2015,10
77,99,5,0,77.77,3,caught,2,South Africa,Rajkot,2015-10-18,2015,10
138,140,6,5,98.57,3,caught,1,South Africa,Chennai,2015-10-22,2015,10
7,6,0,1,116.66,3,caught,2,South Africa,Mumbai,2015-10-25,2015,10
91,97,9,1,93.81,3,caught,1,Australia,Perth,2016-01-12,2016,1
59,67,4,0,88.05,3,run out,1,Australia,Brisbane,2016-01-15,2016,1
117,117,7,2,100.0,3,caught,1,Australia,Melbourne,2016-01-17,2016,1
106,92,11,1,115.21,3,caught,2,Australia,Canberra,2016-01-20,2016,1
8,11,1,0,72.72,3,caught,2,Australia,Sydney,2016-01-23,2016,1
85,81,9,1,104.93,3,not out,2,New Zealand,Dharamsala,2016-10-16,2016,10
9,13,1,0,69.23,3,caught,2,New Zealand,Delhi,2016-10-20,2016,10
154,134,16,1,114.92,3,not out,2,New Zealand,Mohali,2016-10-23,2016,10
45,51,2,1,88.23,3,caught,2,New Zealand,Ranchi,2016-10-26,2016,10
65,76,2,1,85.52,3,caught,1,New Zealand,Visakhapatnam,2016-10-29,2016,10
122,105,8,5,116.19,3,caught,2,England,Pune,2017-01-15,2017,1
8,5,2,0,160.0,3,caught,1,England,Cuttack,2017-01-19,2017,1
55,63,8,0,87.3,3,caught,2,England,Kolkata,2017-01-22,2017,1
